Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	Adj p-value	Avg exp	Pct exp	Significant	Avg log2 fold change
IL1B	Inflammation	279.5015128535214	97.2972972972973	TET2	1	#BEBEBE	5.633007705294356	1.6408286838012128e-13	0.5020471780734628	1	0.973	5.986563452848724e-9	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
TPT1	Inflammation	70.24613892480325	97.2972972972973	TET2	1	#BEBEBE	4.252005344778884	3.415478350271292e-12	0.3254482946381332	0.998	0.973	1.246137276096481e-7	TRUE	< 0.0001	> 50 & < 100	>= 10%	yes	> 0
VIM	Inflammation	122.27508924814461	96.62162162162163	TET2	1	#BEBEBE	4.806273336322064	3.4556126729461497e-12	0.4186417784711116	0.999	0.966	1.260780283724403e-7	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
SOD2	Monocyte activation	156.48891754915098	95.27027027027027	TET2	1	#BEBEBE	5.052985193090329	6.856724693871624e-11	0.4272397461238002	0.998	0.953	2.501676004559062e-6	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
SOD2	Inflammation	156.48891754915098	95.27027027027027	TET2	1	#BEBEBE	5.052985193090329	6.856724693871624e-11	0.4272397461238002	0.998	0.953	2.501676004559062e-6	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
SERPINB1	Inflammation	3.708348820120139	63.51351351351351	TET2	1	#BEBEBE	1.310586715587646	7.382179100437531e-11	0.6009519555017939	0.874	0.635	2.693388044794633e-6	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
CCL3L1	Inflammation	57.89066982733301	83.78378378378379	TET2	1	#BEBEBE	4.058556228715509	1.4102203229300343e-10	0.5216539769576407	0.99	0.838	5.14518884821023e-6	TRUE	< 0.0001	> 50 & < 100	>= 10%	yes	> 0
CXCL3	Inflammation	70.38120480237171	89.86486486486487	TET2	1	#BEBEBE	4.253926250280191	1.477731303754158e-10	0.5944964991247597	0.992	0.899	5.391502661747045e-6	TRUE	< 0.0001	> 50 & < 100	>= 10%	yes	> 0
HLA-DQA2	Antigen presentation	0.8658920871860081	27.7027027027027	TET2	1	#BEBEBE	-0.14399498882396625	4.407320536889378e-10	0.6598194410279716	0.561	0.277	1.6080108978840897e-5	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
CCL4	Inflammation	191.37372765871814	93.24324324324324	TET2	1	#BEBEBE	5.254228205536247	1.080618586059378e-9	0.4678482609787231	0.995	0.932	3.94263691123764e-5	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
LGALS2	Inflammation	0.6074444971866881	22.2972972972973	TET2	1	#BEBEBE	-0.49849447059691254	1.6369336008454691e-9	0.5230928155464911	0.483	0.223	5.972352242684694e-5	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
CCL3	Inflammation	220.2989145136447	95.27027027027027	TET2	1	#BEBEBE	5.39498532648633	2.7282070476154367e-9	0.44537128227488054	0.999	0.953	9.95386341322492e-5	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
CCL4L2	Inflammation	53.63089088827987	81.08108108108108	TET2	1	#BEBEBE	3.982125224609235	2.771310425035063e-9	0.5301279565572186	0.978	0.811	1.0111126085740428e-4	TRUE	0.0001 - 0.05	> 50 & < 100	>= 10%	yes	> 0
YBX1	Inflammation	4.967225531856059	64.1891891891892	TET2	1	#BEBEBE	1.6028614411455393	6.477355169586563e-8	0.29882936678408845	0.9	0.642	0.00236326303362365	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
IL6	Inflammation	8.230294148963381	63.51351351351351	TET2	1	#BEBEBE	2.1078217551150913	7.082043768482868e-8	0.49699685569948393	0.872	0.635	0.00258388366893097	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
ITGB8	Cell adhesion	2.384092572425021	46.62162162162162	TET2	1	#BEBEBE	0.868818579164404	8.965268140406744e-8	0.22774912963116356	0.749	0.466	0.0032709780810274	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
NEAT1	Inflammation	51.68016144607802	97.97297297297297	TET2	20	#0000FF	3.945073983426085	1.9776623365363097e-7	-0.8416324914384985	0.997	0.98	0.00721550103485272	TRUE	0.0001 - 0.05	> 50 & < 100	>= 10%	yes	< 0
TNFAIP6	Inflammation	7.222682997308895	65.54054054054053	TET2	1	#BEBEBE	1.9772264901516936	1.9887808980242837e-7	0.4576069701999561	0.894	0.655	0.00725606710644159	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
S100A4	Monocyte activation	12.426575468704497	76.35135135135135	TET2	1	#BEBEBE	2.5198373622305454	2.3659002828435825e-7	0.342489731806368	0.974	0.764	0.00863198718195481	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
CXCL8	Inflammation	427.74642835040925	100	TET2	1	#BEBEBE	6.0585305628845125	2.489603913128488e-7	0.35623358266883365	1	1	0.00908331987704928	TRUE	0.0001 - 0.05	>= 100	>= 10%	yes	> 0
HLA-DRB1	Antigen presentation	4.047745041952248	58.78378378378378	TET2	1	#BEBEBE	1.3981599462941587	3.081986205334452e-7	0.3752179170235048	0.835	0.588	0.01124462667016274	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DRB5	Antigen presentation	1.4865448473881404	39.86486486486486	TET2	1	#BEBEBE	0.39645453278775833	3.621537387230252e-7	0.4131518023479195	0.64	0.399	0.01321317915730957	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
IL1RN	Inflammation	19.74482978013048	76.35135135135135	TET2	1	#BEBEBE	2.982891673791373	3.940839254703007e-7	0.4743128641827177	0.942	0.764	0.01437815202078392	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
CLEC4E	Inflammation	1.9209325685581249	45.94594594594595	TET2	1	#BEBEBE	0.6528107809101048	4.915354426868609e-7	0.4187315181754647	0.706	0.459	0.01793367062643012	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DRA	Antigen presentation	15.94897035964474	77.7027027027027	TET2	1	#BEBEBE	2.7693942728928898	6.041689776509612e-7	0.4480900862634965	0.973	0.777	0.02204310514959532	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
SNHG29	Inflammation	4.592860282149423	68.24324324324324	TET2	1	#BEBEBE	1.5245029851442855	2.8437627027553105e-6	0.33601772929027796	0.907	0.682	0.10375468221002752	FALSE	Not significant	< 50	>= 10%	no	> 0
ANXA5	Cell adhesion	12.45875755192771	79.05405405405406	TET2	1	#BEBEBE	2.522423793453872	4.042300075708552e-6	0.32600019038230466	0.983	0.791	0.14748331826222652	FALSE	Not significant	< 50	>= 10%	no	> 0
SEC61B	Antigen presentation	4.696475971559477	66.8918918918919	TET2	1	#BEBEBE	1.546812434195222	6.59208813865585e-6	0.34000181741273927	0.917	0.669	0.2405123357388587	FALSE	Not significant	< 50	>= 10%	no	> 0
S100A6	Monocyte activation	20.0067993765355	79.05405405405406	TET2	1	#BEBEBE	2.9960721846044587	9.514039724101144e-6	0.27570211092991315	0.981	0.791	0.3471197393338302	FALSE	Not significant	< 50	>= 10%	no	> 0
HLA-DPB1	Antigen presentation	2.8826964683918392	47.2972972972973	TET2	1	#BEBEBE	1.058726129864146	2.062940531782229e-5	0.4532186458030565	0.693	0.473	0.7526638530207462	FALSE	Not significant	< 50	>= 10%	no	> 0
HLA-DQA1	Antigen presentation	1.6501437344496106	36.486486486486484	TET2	1	#BEBEBE	0.5008623959061206	2.2789111617248675e-5	0.2612877258657089	0.568	0.365	0.8314607373553179	FALSE	Not significant	< 50	>= 10%	no	> 0
